Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
agrest3,io.agrest.cayenne,AgCayenneModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne,AgCayenneModule.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: persister
agrest3,io.agrest.cayenne,AgCayenneModule.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne,CayenneResolvers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne,CayenneRootDataResolverBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder.IdMergeType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder.IdMergeType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
agrest3,io.agrest.cayenne.converter.jsonvalue,JsonConverter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractConverter
agrest3,io.agrest.cayenne.converter.valuestring,JsonConverter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractConverter
agrest3,io.agrest.cayenne.encoder,JsonEncoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEncoder
