Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest3,io.agrest.cayenne,AgCayenneModule,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 52
agrest3,io.agrest.cayenne,AgCayenneModule.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.compiler.AnnotationsAgEntityBuilder; io.agrest.meta.AgIdPart
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
agrest3,io.agrest.cayenne.encoder,EncoderFactoryTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.converter.valuestring.ValueStringConvertersProvider
agrest3,io.agrest.cayenne.encoder,EncoderFactoryTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
agrest3,io.agrest.cayenne.exp,CayenneExpressionVisitor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 51
agrest3,io.agrest.cayenne.exp,CayenneExpParserTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.cayenne.exp.CayenneExpParser
agrest3,io.agrest.cayenne.exp,CayenneExpParserTest,Law of Demeter violation,The tool detected the smell in this method (parseComposite) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.protocol.Exp.and; io.agrest.protocol.Exp.simple; io.agrest.protocol.Exp.or
agrest3,io.agrest.cayenne.path,PathResolver,Law of Demeter violation,The tool detected the smell in this method (resolve) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.PathResolver.entityPathCache; io.agrest.cayenne.path.EntityPathCache.getOrCreate
agrest3,io.agrest.cayenne.path,EntityPathCacheTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.cayenne.path.EntityPathCache
agrest3,io.agrest.cayenne.processor,CayenneProcessor,Law of Demeter violation,The tool detected the smell in this method (getOrCreateRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.setProperty
