Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
agrest3,io.agrest.cayenne,AgCayenneModule,2,0,5,4,76,5,0,0,0.4,0,52,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\AgCayenneModule.java,64
agrest3,io.agrest.cayenne,AgCayenneModule.Builder,1,0,0,0,16,0,0,0,-1.0,0,1,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\AgCayenneModule.java,150
agrest3,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,0,0,7,0,37,9,0,0,-1.0,0,4,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\CayenneRelatedDataResolverBuilder.java,14
agrest3,io.agrest.cayenne,CayenneResolvers,0,0,4,4,34,4,0,0,-1.0,0,2,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\CayenneResolvers.java,6
agrest3,io.agrest.cayenne,CayenneRootDataResolverBuilder,0,0,3,0,17,4,0,0,-1.0,0,4,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\CayenneRootDataResolverBuilder.java,11
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,12,0,20,5,198,45,0,0,0.25,0,19,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\compiler\CayenneAgEntityBuilder.java,46
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityBuilder.IdMergeType,0,0,0,0,16,0,0,0,-1.0,0,0,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\compiler\CayenneAgEntityBuilder.java,364
agrest3,io.agrest.cayenne.compiler,CayenneAgEntityCompiler,5,0,5,2,30,5,0,1,0.0,2,6,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\compiler\CayenneAgEntityCompiler.java,24
agrest3,io.agrest.cayenne.compiler,DataObjectDataReader,1,0,3,2,12,3,0,1,0.0,2,1,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\compiler\DataObjectDataReader.java,6
agrest3,io.agrest.cayenne.compiler,ObjectIdValueReader,1,0,3,3,16,4,0,1,0.0,1,1,C:\Users\Afi\git\csci3130\A3-agrest3\.\agrest3\agrest-cayenne\src\main\java\io\agrest\cayenne\compiler\ObjectIdValueReader.java,7
