Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bindMap(JsonValueConverter.class).put(Json.class.getName()`io.agrest.cayenne.converter.jsonvalue.JsonConverter.converter());" is 131.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bindMap(ValueStringConverter.class).put(Json.class.getName()`io.agrest.cayenne.converter.valuestring.JsonConverter.converter());" is 135.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bindMap(AgExceptionMapper.class).put(CayenneRuntimeException.class.getName()`CayenneRuntimeExceptionMapper.class).put(ValidationException.class.getName()`ValidationExceptionMapper.class);" is 194.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bind(Key.get(UpdateMapChangesStage.class`UpdateFlavorDIKeys.CREATE_OR_UPDATE)).to(CayenneMapCreateOrUpdateStage.class);" is 126.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bind(Key.get(UpdateMapChangesStage.class`UpdateFlavorDIKeys.IDEMPOTENT_CREATE_OR_UPDATE)).to(CayenneMapIdempotentCreateOrUpdateStage.class);" is 147.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bind(Key.get(UpdateMapChangesStage.class`UpdateFlavorDIKeys.IDEMPOTENT_FULL_SYNC)).to(CayenneMapIdempotentFullSyncStage.class);" is 134.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bind(Key.get(UpdateFillResponseStage.class`UpdateFlavorDIKeys.CREATE_OR_UPDATE)).to(CayenneCreatedOrOkResponseStage.class);" is 130.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bind(Key.get(UpdateFillResponseStage.class`UpdateFlavorDIKeys.IDEMPOTENT_CREATE_OR_UPDATE)).to(CayenneCreatedOrOkResponseStage.class);" is 141.,98
agrest,io.agrest.cayenne,AgCayenneModule,configure,Long Statement,The length of the statement "binder.bind(Key.get(UpdateFillResponseStage.class`UpdateFlavorDIKeys.IDEMPOTENT_FULL_SYNC)).to(CayenneCreatedOrOkResponseStage.class);" is 134.,98
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,validateParent,Long Statement,The length of the statement "throw new IllegalStateException("Entity '" + parentType.getSimpleName() + "' is not mapped in Cayenne` so its relationship '"+ relationshipName+ "' can't be resolved with a Cayenne resolver");" is 192.,50
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,validateParent,Long Statement,The length of the statement "throw new IllegalStateException("Relationship '" + entity.getName() + "."+ relationshipName+ "' is not mapped in Cayenne and can't be resolved with a Cayenne resolver");" is 169.,50
agrest,io.agrest.cayenne,CayenneRootDataResolverBuilder,validateRoot,Long Statement,The length of the statement "throw new IllegalStateException("Entity '" + rootType.getSimpleName() + "' is not mapped in Cayenne and can't be resolved with a Cayenne resolver");" is 148.,26
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,Complex Method,Cyclomatic complexity of the method is 10,118
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,Long Statement,The length of the statement "LOGGER.warn("Non-PK attribute in {} is called '{}'` which conflicts with the Agrest default ID property"`cayenneEntity.getName()`a.getName());" is 142.,118
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,Long Statement,The length of the statement "LOGGER.warn("A relationship in {} is called '{}'` which conflicts with the Agrest default ID property"`cayenneEntity.getName()`r.getName());" is 140.,118
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,Long Statement,The length of the statement "addRelationship(new DefaultRelationship(r.getName()`schema.getEntity(targetEntityType)`r.isToMany()`true`true`relatedDataResolver));" is 132.,118
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,Long Statement,The length of the statement "id=new DefaultIdPart(ASTDbPath.DB_PREFIX + pk.getName()`typeForName(TypesMapping.getJavaBySqlType(pk.getType()))`true`true`ObjectIdValueReader.reader(pk.getName()));" is 165.,118
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,Long Statement,The length of the statement "id=new DefaultIdPart(attribute.getName()`typeForName(attribute.getType())`true`true`DataObjectDataReader.reader(attribute.getName()));" is 134.,118
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildAnnotatedProperties,Complex Method,Cyclomatic complexity of the method is 8,207
