Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
agrest,io.agrest.cayenne,AgCayenneModule,builder,3,1,0,71,0,,
agrest,io.agrest.cayenne,AgCayenneModule,builder,3,1,1,78,0,io.agrest.cayenne.AgCayenneModule,io.agrest.cayenne.AgCayenneModule
agrest,io.agrest.cayenne,AgCayenneModule,build,3,1,1,86,0,io.agrest.cayenne.AgCayenneModule,io.agrest.cayenne.AgCayenneModule
agrest,io.agrest.cayenne,AgCayenneModule,AgCayenneModule,3,1,1,94,0,,
agrest,io.agrest.cayenne,AgCayenneModule,configure,33,1,1,98,0,io.agrest.cayenne.converter.jsonvalue.JsonConverter,io.agrest.cayenne.converter.jsonvalue.JsonConverter; io.agrest.cayenne.converter.valuestring.JsonConverter; io.agrest.cayenne.encoder.JsonEncoder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,viaQueryWithParentExp,3,1,2,16,0,io.agrest.cayenne.CayenneRelatedDataResolverBuilder,io.agrest.cayenne.CayenneRelatedDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,viaQueryWithParentExp,6,1,3,20,0,io.agrest.cayenne.CayenneRelatedDataResolverBuilder,io.agrest.cayenne.CayenneRelatedDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,viaQueryWithParentIds,3,1,2,28,0,io.agrest.cayenne.CayenneRelatedDataResolverBuilder,io.agrest.cayenne.CayenneRelatedDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,viaQueryWithParentIds,6,1,3,32,0,io.agrest.cayenne.CayenneRelatedDataResolverBuilder,io.agrest.cayenne.CayenneRelatedDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,viaParentPrefetch,3,1,2,40,0,io.agrest.cayenne.CayenneRelatedDataResolverBuilder,io.agrest.cayenne.CayenneRelatedDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,viaParentPrefetch,5,1,3,44,0,io.agrest.cayenne.CayenneRelatedDataResolverBuilder,io.agrest.cayenne.CayenneRelatedDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRelatedDataResolverBuilder,validateParent,9,3,3,50,0,io.agrest.cayenne.persister.ICayennePersister,io.agrest.cayenne.persister.ICayennePersister
agrest,io.agrest.cayenne,CayenneResolvers,rootViaQuery,3,1,0,15,0,,
agrest,io.agrest.cayenne,CayenneResolvers,relatedViaQueryWithParentExp,3,1,0,22,0,,
agrest,io.agrest.cayenne,CayenneResolvers,relatedViaQueryWithParentIds,3,1,0,33,0,,
agrest,io.agrest.cayenne,CayenneResolvers,relatedViaParentPrefetch,3,1,0,43,0,,
agrest,io.agrest.cayenne,CayenneRootDataResolverBuilder,viaQuery,3,1,1,13,0,io.agrest.cayenne.CayenneRootDataResolverBuilder,io.agrest.cayenne.CayenneRootDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRootDataResolverBuilder,viaQuery,6,1,2,17,0,io.agrest.cayenne.CayenneRootDataResolverBuilder,io.agrest.cayenne.CayenneRootDataResolverBuilder
agrest,io.agrest.cayenne,CayenneRootDataResolverBuilder,validateRoot,6,2,2,26,0,io.agrest.cayenne.persister.ICayennePersister,io.agrest.cayenne.persister.ICayennePersister
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,CayenneAgEntityBuilder,10,1,3,66,0,,
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,overlays,4,1,1,81,0,,
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,dataResolver,4,1,1,86,0,,
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,relatedDataResolver,4,1,1,94,0,,
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,build,3,1,0,102,0,io.agrest.cayenne.compiler.CayenneAgEntityBuilder,io.agrest.cayenne.compiler.CayenneAgEntityBuilder
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,addId,3,1,1,106,0,io.agrest.meta.AgIdPart,io.agrest.meta.AgIdPart
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,addAttribute,3,1,1,110,0,io.agrest.meta.AgAttribute,io.agrest.meta.AgAttribute
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,addRelationship,3,1,1,114,0,io.agrest.meta.AgRelationship,io.agrest.meta.AgRelationship
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildCayenneEntity,39,10,0,118,0,io.agrest.cayenne.compiler.CayenneAgEntityBuilder,io.agrest.cayenne.compiler.CayenneAgEntityBuilder; io.agrest.cayenne.compiler.ObjectIdValueReader; io.agrest.reflect.Types; io.agrest.cayenne.compiler.DataObjectDataReader
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildAnnotatedProperties,34,8,0,207,0,io.agrest.meta.AgEntity,io.agrest.meta.AgEntity; io.agrest.cayenne.compiler.CayenneAgEntityBuilder; io.agrest.meta.AgRelationship; io.agrest.meta.AgAttribute; io.agrest.compiler.AnnotationsAgEntityBuilder
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,replaceIds,4,1,1,251,0,,
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,mergeSingleId,8,3,1,256,0,io.agrest.cayenne.compiler.CayenneAgEntityBuilder,io.agrest.cayenne.compiler.CayenneAgEntityBuilder
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,merge,3,1,2,269,0,io.agrest.meta.AgIdPart,io.agrest.meta.AgIdPart
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,merge,3,1,2,282,0,io.agrest.meta.AgAttribute,io.agrest.meta.AgAttribute
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,merge,3,1,2,295,0,io.agrest.meta.AgRelationship,io.agrest.meta.AgRelationship
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,buildEntity,5,1,0,310,0,io.agrest.cayenne.compiler.CayenneAgEntityBuilder,io.agrest.cayenne.compiler.CayenneAgEntityBuilder; io.agrest.access.DeleteAuthorizer; io.agrest.access.UpdateAuthorizer; io.agrest.resolver.ThrowingRootDataResolver; io.agrest.access.ReadFilter; io.agrest.access.CreateAuthorizer
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,applyOverlay,3,1,1,332,0,io.agrest.meta.AgEntity,io.agrest.meta.AgEntity; io.agrest.cayenne.compiler.CayenneAgEntityBuilder
