Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
agrest,io.agrest.cayenne.compiler,CayenneCompiler_InheritanceIT,getSubEntities_Super,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Super,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
agrest,io.agrest.cayenne.compiler,CayenneCompiler_Inheritance_AnnotatedIT,aie1Sub1Sub1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_In,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,parseKeyValue_In,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.cayenne.exp.CayenneExpParser.parse; io.agrest.protocol.Exp.keyValue
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_Attribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_Attribute,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.EntityPathCache.getOrCreate; io.agrest.cayenne.path.PathDescriptor.getType; io.agrest.cayenne.path.PathDescriptor.isAttributeOrId
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_Relationship,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_Relationship,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.EntityPathCache.getOrCreate; io.agrest.cayenne.path.PathDescriptor.getType; io.agrest.cayenne.path.PathDescriptor.isAttributeOrId
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_RelatedAttribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_RelatedAttribute,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.EntityPathCache.getOrCreate; io.agrest.cayenne.path.PathDescriptor.getType; io.agrest.cayenne.path.PathDescriptor.isAttributeOrId
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_OuterRelatedAttribute,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
agrest,io.agrest.cayenne.path,EntityPathCacheTest,getOrCreate_OuterRelatedAttribute,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.EntityPathCache.getOrCreate; io.agrest.cayenne.path.PathDescriptor.getType; io.agrest.cayenne.path.PathDescriptor.isAttributeOrId
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Ordering,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Pagination,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Qualifier,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_Qualifier,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.access.PathChecker.ofDefault; io.agrest.protocol.Exp.simple
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_ById,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_ById,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.access.PathChecker.ofDefault; io.agrest.id.AgObjectId.of
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_ById_WithQuery,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
agrest,io.agrest.cayenne.processor,CayenneQueryAssemblerTest,createRootQuery_ById_WithQuery,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.agrest.access.PathChecker.ofDefault; io.agrest.id.AgObjectId.of
agrest,io.agrest.cayenne.spi,CayenneRuntimeExceptionMapperIT,exception,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.spi,ValidationExceptionMapperIT,exception,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.DELETE,BasicIT,deleteAll_Empty,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.DELETE,BasicIT,deleteTwice,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.DELETE,BasicIT,delete_UpperCasePK,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.DELETE,RelatedIT,invalidRel,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.DELETE,RelatedIT,noSuchId_Source,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.DELETE,StagesIT,deleteAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
agrest,io.agrest.cayenne.DELETE,StagesIT,deleteNone,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
agrest,io.agrest.cayenne.GET,AgRequestIT,exp_OverrideByAgRequest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.GET,AgRequestIT,includes_OverrideByAgRequest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.GET,AgRequestIT,excludes_OverrideByAgRequest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
agrest,io.agrest.cayenne.GET,AgRequestIT,sort_OverrideByAgRequest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
