Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest,io.agrest.cayenne,AgCayenneModule,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 52
agrest,io.agrest.cayenne,AgCayenneModule.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.meta.AgIdPart; io.agrest.compiler.AnnotationsAgEntityBuilder
agrest,io.agrest.cayenne.compiler,CayenneAgEntityBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.converter.valuestring.ValueStringConvertersProvider
agrest,io.agrest.cayenne.encoder,EncoderFactoryTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
agrest,io.agrest.cayenne.exp,CayenneExpressionVisitor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 51
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.cayenne.exp.CayenneExpParser
agrest,io.agrest.cayenne.exp,CayenneExpParserTest,Law of Demeter violation,The tool detected the smell in this method (parseComposite) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.protocol.Exp.and; io.agrest.protocol.Exp.or; io.agrest.protocol.Exp.simple
agrest,io.agrest.cayenne.path,PathResolver,Law of Demeter violation,The tool detected the smell in this method (resolve) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.EntityPathCache.getOrCreate; io.agrest.cayenne.path.PathResolver.entityPathCache
agrest,io.agrest.cayenne.path,EntityPathCacheTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.agrest.cayenne.path.EntityPathCache
agrest,io.agrest.cayenne.processor,CayenneProcessor,Law of Demeter violation,The tool detected the smell in this method (getOrCreateRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.setProperty
agrest,io.agrest.cayenne.processor,CayenneProcessor,Law of Demeter violation,The tool detected the smell in this method (getOrCreateRelatedEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.setProperty
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,Law of Demeter violation,The tool detected the smell in this method (queryColumns) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.RelatedResourceEntity.getParent
agrest,io.agrest.cayenne.processor,CayenneQueryAssembler,Law of Demeter violation,The tool detected the smell in this method (queryColumns) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RelatedResourceEntity.getParent; io.agrest.ResourceEntity.getName
